produto_id,feed_id,loja,nome,preco_atual,preco_anterior,preco_min,preco_max,primeira_vez,ultima_alteracao
41816592113,98680,Clovis Calçados BR,Mocassim Feminino Beira Rio 4312110 PRETO/NOBUCK 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41816592114,98680,Clovis Calçados BR,Mocassim Feminino Beira Rio 4312110 BEGE 37,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41816592116,98680,Clovis Calçados BR,Sandália Feminina Salto Grosso Beira Rio 8280788 PRETO/GRAFITE 34,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41816592117,98680,Clovis Calçados BR,Sandália Feminina Anabela Modare 7189112 SALMÃO 34,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41816592119,98680,Clovis Calçados BR,Tênis Infantil Masculino Baby Molekinho 2133176 BEGE 20,79.99,79.99,79.99,79.99,2026-08-09,2026-08-09
41816592120,98680,Clovis Calçados BR,Tênis Chuck Taylor All Star Wedge Platform Converse A11909C PRETO/BRANCO 35,399.99,399.99,399.99,399.99,2026-08-09,2026-08-09
41816592121,98680,Clovis Calçados BR,Tênis Chuck Taylor All Star Wedge Platform Converse A11909C BRANCO 35,399.99,399.99,399.99,399.99,2026-08-09,2026-08-09
41816592124,98680,Clovis Calçados BR,Tênis Chuck Taylor All Star Premium Party Converse A12824C PRETO 34,599.99,599.99,599.99,599.99,2026-08-09,2026-08-09
41816592125,98680,Clovis Calçados BR,Bota Feminina Cano Baixo Ramarim 2411122 PRETO 36,99.99,99.99,99.99,99.99,2026-08-09,2026-08-09
41816592126,98680,Clovis Calçados BR,Sapatênis Masculino Casual BRsport 2276213 PRETO/CAFÉ 38,129.99,129.99,129.99,129.99,2026-08-09,2026-08-09
41816592127,98680,Clovis Calçados BR,Tênis Feminino Progress Lite Fila F02TR00046 PRETO/BRANCO 34,299.99,299.99,299.99,299.99,2026-08-09,2026-08-09
41816592128,98680,Clovis Calçados BR,Sandália Feminina Meia Pata Vizzano 6472213 PRATA 35,189.99,189.99,189.99,189.99,2026-08-09,2026-08-09
